Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
0,4619.428,4619.576,4622.731,12623.957,7506.005,7572.565,8634.56,10508.665,49:02.6,0
1,5286.557,5284.781,5290.125,12623.933,12078.909,11245.117,12675.776,10496.693,49:02.8,0
2,2265.471,2261.668,2266.023,12623.914,10119.21,9407.53,10257.088,10501.818,49:02.9,0
3,5298.365,5298.104,5301.885,12623.961,9161.049,9066.585,10198.208,10507.443,49:03.1,0
4,4488.337,4485.49,4491.081,12623.919,12827.183,11818.543,13263.296,10494.685,49:03.3,0
5,2489.522,2486.344,2489.933,12623.927,564.279,97.591,883.904,10505.201,49:03.4,0
6,5747.867,5747.583,5751.975,12623.958,13476.438,13206.102,14449.088,10504.362,49:03.6,0
7,3449.49,3445.817,3451.503,12623.908,12805.156,11749.412,13084.096,10494.918,49:03.7,0
8,3272.296,3270.273,3273.414,12623.942,16407.622,16209.478,298.176,10507.676,49:03.9,1
9,5815.73,5815.134,5819.733,12623.95,15514.702,15047.502,16350.656,10501.07,49:04.0,0
10,2668.148,2664.009,2669.446,12623.905,14629.665,13656.609,14791.36,10497.165,49:04.2,0
11,4227.25,4225.985,4229.219,12623.954,8564.562,8495.698,9474.752,10508.655,49:04.3,0
12,5467.998,5466.539,5471.816,12623.938,6044.226,5286.978,6706.88,10497.629,49:04.5,0
13,2261.167,2257.221,2261.903,12623.911,11698.727,10970.407,11883.2,10500.525,49:04.7,0
14,5096.745,5096.288,5099.906,12623.96,8725.336,8618.584,9783.744,10507.958,49:04.8,0
15,4765.738,4763.038,4768.572,12623.924,10501.684,9525.044,10980.8,10495.337,49:05.0,0
16,2384.97,2398.077,2401.921,12623.923,5186.867,6790.707,7618.496,10504.299,49:05.1,0
17,5664.837,5666.643,5670.975,12623.96,12754.264,12854.872,14107.328,10505.68,49:05.3,1
18,3857.046,3853.836,3859.578,12623.912,13402.664,12414.248,13798.336,10494.855,49:05.4,0
19,3057.969,3055.492,3058.806,12623.938,9180.738,8875.586,9715.392,10507.205,49:05.6,0
20,5867.622,5866.865,5871.703,12623.954,6137.426,14040.402,15427.264,10502.262,49:05.7,0
21,2921.081,2925.132,2930.798,12623.906,12104.482,12093.986,13345.984,10496.197,49:05.9,0
22,3916.963,3916.465,3919.549,12623.95,14469.454,14509.134,15434.688,10508.455,49:06.1,0
23,5599.631,5598.647,5603.501,12623.942,5016.389,12745.797,14140.352,10498.474,49:06.2,0
24,2331.499,2335.631,2340.516,12623.908,12803.108,13021.476,13984.704,10499.515,49:06.4,0
25,4884.082,4884.664,4888.122,12623.959,13987.159,14074.199,15172.544,10508.48,49:06.5,1
26,4966.758,4964.433,4970.05,12623.927,12608.311,11680.055,13131.456,10495.638,49:06.7,0
27,2321.016,2317.476,2321.591,12623.92,7900.72,7301.168,8151.744,10503.364,49:06.8,0
28,5540.796,5540.435,5544.573,12623.961,8632.921,8427.097,9652.16,10506.406,49:07.0,0
29,4052.411,4049.288,4054.826,12623.914,11456.042,10394.922,11817.152,10537.344,49:07.1,0
30,10067.392,1026.984,12243.336,12624.089,12672.188,14641.854,16603.84,10487.464,49:07.3,0
31,2925.702,12088.427,16158.804,12623.944,6794.766,5402.799,6851.52,10507.435,49:07.5,1
32,5360.246,4439.952,899.356,12623.937,14260.026,13342.495,15468.992,10497.703,49:07.6,0
33,2256.747,2154.047,1700.904,12623.91,8160.293,11560.738,12592.064,10500.255,49:07.8,0
34,5019.756,5023.328,4961.553,12623.96,8409.944,8887.639,10036.672,10507.986,49:07.9,0
35,4774.179,4772.252,4777.775,12623.923,15692.339,14837.555,16265.92,10495.191,49:08.1,0
36,2395.468,2392.159,2395.99,12623.923,12657.459,12158.771,12950.72,10504.326,49:08.2,0
37,5667.47,5667.225,5671.511,12623.96,9790.552,9590.616,10842.816,10505.6,49:08.4,0
38,3844.679,3841.353,3847.052,12623.912,12615.208,11610.664,12958.656,10494.604,49:08.6,0
39,2975.671,2973.295,2976.612,12623.938,6332.482,6073.154,6911.168,10507.178,49:08.7,0
40,5863.534,5863.009,5867.838,12623.954,12153.17,11759.186,13080.256,10502.3,49:08.9,0
41,2920.486,2916.48,2922.031,12623.906,11624.226,10584.61,11817.92,10496.227,49:09.0,1
42,3924.529,3923.299,3926.347,12623.951,8791.887,8736.846,1273.536,10508.644,49:09.2,0
43,5656.759,5655.668,5603.158,12623.942,10016.326,9340.485,11813.056,10498.407,49:09.3,0
44,2334.602,2346.851,2353.023,12623.909,11034.405,12297.509,13454.528,10499.735,49:09.5,0
45,6829.742,9289.888,4891.822,4893.244,4897.176,12623.959,13615.447,13837.399,49:09.6,0
46,5754.053,5753.671,5758.777,12623.946,13860.682,13334.09,14718.656,10499.754,49:09.8,0
47,2478.441,2474.55,2479.696,12623.906,14063.138,13184.034,14261.696,10498.244,49:09.9,0
48,4576.093,4575.255,4578.702,12623.957,10460.245,10428.245,11500.224,10508.731,49:10.1,0
49,5228.964,5227.067,5232.213,12623.932,12959.036,12074.812,13541.312,10496.479,49:10.2,0
50,2163.014,2224.68,2163.654,12623.915,14106.155,13466.667,14334.656,10502.052,49:10.4,0
51,5341.857,5341.347,5345.469,12623.961,8702.809,8562.777,9743.296,10507.111,49:10.5,0
52,4352.366,4349.352,4355.169,12623.917,8234.029,7236.909,8668.096,10494.594,49:10.7,0
53,2598.543,2595.442,2598.994,12623.929,14326.073,13919.289,14716.864,10505.721,49:10.8,1
54,5767.34,5832.537,5771.406,12623.958,839.254,539.99,1788.352,10504.128,49:11.0,0
55,3335.876,3332.133,3337.783,12623.907,15119.139,14039.587,15342.016,10494.973,49:11.2,0
56,3396.956,3395.139,3398.221,12623.944,9669.96,9538.632,10391.744,10507.886,49:11.3,0
57,5794.117,5793.363,5798.103,12623.948,12659.532,12070.988,13471.936,10500.319,49:11.5,0
58,2551.651,2547.486,2552.972,12623.906,13600.29,12663.074,13801.92,10497.75,49:11.6,0
59,4455.528,4454.693,4392.523,12623.956,10180.18,10122.58,11174.848,10508.717,49:11.8,0
60,12623.953,7163.984,15041.36,16413.888,10501.8,4603.354,12271.089,9748.64,49:11.9,0
61,2216.372,2216.577,2221.214,12623.913,15646.249,15441.961,16362.688,10501.56,49:12.1,1
62,5295.426,5295.466,5299.373,12623.961,9915.993,9862.233,11044.288,10507.403,49:12.2,0
63,4487.737,4484.927,4490.393,12623.919,13142.319,12141.615,13535.936,10494.666,49:12.4,0
64,2534.774,2531.741,2535.329,12623.928,11565.368,11120.44,11909.568,10505.324,49:12.6,0
65,5796.972,5796.704,5817.503,12623.959,8863.575,8559.191,11969.216,10504.581,49:12.7,0
66,12107.936,3432.362,3461.472,3469.195,12623.908,9655.844,12800.548,14386.88,49:12.8,0
67,2325.296,2330.19,2334.587,12623.922,5533.234,6045.746,15297.216,10504.102,49:13.0,0
68,5670.448,5671.191,5683.856,12623.96,11419.992,11349.336,13672.896,10505.616,49:13.1,0
69,3790.904,3787.406,3794.305,12623.911,8870.695,16163.623,954.816,10494.407,49:13.3,0
70,2993.741,2999.592,3003.078,12623.938,10587.202,11348.034,12244.416,10507.216,49:13.4,1
71,5888.378,5888.824,5893.537,12623.953,15307.089,14961.745,16338.88,10501.637,49:13.6,0
72,2862.958,2858.907,2864.451,12623.905,12943.137,11901.217,13128.384,10496.207,49:13.8,0
73,3983.052,3981.654,3984.727,12623.951,9886.543,9775.951,10774.976,10508.498,49:13.9,0
74,5563.291,5561.759,5566.884,12623.94,12279.62,11507.268,12936.64,10498.187,49:14.1,0
75,2316.654,2345.289,2350.459,12623.909,12364.325,15737.893,16729.536,10499.805,49:14.2,0
76,4957.536,4961.104,4964.678,12623.959,11702.615,12158.807,13246.912,10508.265,49:14.4,0
77,4888.925,4887.166,4892.537,12623.925,10833.717,10003.509,11419.84,10495.406,49:14.5,0
78,2331.202,2327.748,2331.732,12623.921,11357.745,10856.753,11633.088,10503.788,49:14.7,0
79,5597.81,5597.577,5618.125,12623.96,6506.328,6318.424,9686.976,10505.913,49:14.8,0
80,3855.553,3852.129,3859.914,12623.912,10659.368,9604.136,11262.4,10494.649,49:15.0,0
81,2943.672,2941.361,2944.966,12623.937,10189.633,9932.609,10800.576,10506.942,49:15.2,0
82,5886.041,5885.632,5890.219,12623.954,14512.978,14079.57,15433.92,10502.373,49:15.3,0
